"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","To what extent do you agree with the following statement: Joe Biden is too old to be an effective president.","To what extent do you agree with the following statement: Donald Trump is too old to be an effective president.","Should Brown have institutional neutrality? [""Institutional neutrality is the idea that colleges and universities should not, as institutions, take positions on social and political issues""]

(Definition from the Foundation for Individual Rights and Expression)","Do you identify more closely with capitalist or communist values?","How would you rate the effectiveness of using social media for political activism?","Do you think you are more lonely than the average Brown student?","Would you rather receive a final grade of a B or an S in a course?","Have you ever shoplifted before?","What is your love language?"
"2024/03/07 11:30:56 AM EST","2025","Woman","White","Physical Sciences (including math, computer science)","Strongly disagree","Strongly disagree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","Prefer not to answer","No","Quality time"
"2024/03/07 11:32:05 AM EST","2025","Woman;Non-binary","Black","Physical Sciences (including math, computer science)","Strongly disagree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/07 11:35:41 AM EST","2025","Man","Black;White","Life Sciences","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 11:37:31 AM EST","2025","Man","Black","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/07 11:41:49 AM EST","2026","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer"
"2024/03/07 11:45:12 AM EST","2026","Man","Middle Eastern or North African;White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","Unsure","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 11:47:05 AM EST","2027","Woman","Asian;White","Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","Prefer not to answer","Gift giving"
"2024/03/07 11:51:10 AM EST","2025","Woman","Asian","Physical Sciences (including math, computer science)","Unsure","Unsure","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Unsure","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/07 11:51:42 AM EST","2025","Man;Non-binary;Questioning;Unsure","Asian;Black;Hispanic or Latino","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","Unsure","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/07 11:53:55 AM EST","2027","Man","Asian;Black;Hispanic or Latino","Physical Sciences (including math, computer science)","Somewhat agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 11:54:01 AM EST","2026","Woman","Black","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 11:54:55 AM EST","2025","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, significantly less lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/07 11:55:13 AM EST","2026","Man","Native American or Alaska Native;White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Unsure","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Unsure"
"2024/03/07 11:57:36 AM EST","2024","Woman","Black","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Strongly agree","Unsure","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/07 11:58:36 AM EST","2026","Man","Hispanic or Latino","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/07 11:59:59 AM EST","2026","Woman","Hispanic or Latino;White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","Unsure","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of a B","Yes","Physical touch"
"2024/03/07 12:02:28 PM EST","2026","Man","White","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 12:08:51 PM EST","2024","Woman","White","Humanities/Arts","Somewhat disagree","Somewhat disagree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","Unsure","I would rather receive a final grade of a B","No","Unsure"
"2024/03/07 12:09:06 PM EST","2024","Man","White","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/07 12:11:13 PM EST","2026","Man","Hispanic or Latino;Native American or Alaska Native","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat disagree","Strongly disagree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/07 12:11:57 PM EST","2027","Man","White","Humanities/Arts","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Unsure"
"2024/03/07 12:15:11 PM EST","2024","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Strongly agree","Unsure","I identify more closely with capitalist values","Very effective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Words of affirmation"
"2024/03/07 12:16:30 PM EST","2025","Woman","Black;White","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Unsure","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/07 12:19:55 PM EST","2026","Man","Hispanic or Latino;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Unsure","I identify more closely with capitalist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Gift giving"
"2024/03/07 12:23:34 PM EST","2027","Woman","Prefer not to answer","Humanities/Arts;Life Sciences","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","Yes, slightly more lonely","Prefer not to answer","No","Physical touch"
"2024/03/07 12:23:58 PM EST","2024","Man","White","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","I do not believe in love languages"
"2024/03/07 12:26:16 PM EST","2027","Man","White","Humanities/Arts","Somewhat agree","Strongly disagree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, significantly more lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/07 12:27:03 PM EST","2027","Man","Black","Life Sciences","Unsure","Unsure","Unsure","Unsure","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 12:28:47 PM EST","2026","Man","Asian;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat ineffective","Unsure","I would rather receive a final grade of an S","No","I do not believe in love languages"
"2024/03/07 12:29:58 PM EST","2027","Man","Middle Eastern or North African","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","Unsure","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/07 12:35:25 PM EST","2025","Man","White","Physical Sciences (including math, computer science)","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Unsure"
"2024/03/07 12:35:35 PM EST","2025","Man","Asian","Life Sciences;Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 12:38:44 PM EST","2026","Man","Prefer not to answer","Life Sciences;Physical Sciences (including math, computer science)","Somewhat agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Unsure","No, slightly less lonely","I would rather receive a final grade of an S","Prefer not to answer","Gift giving"
"2024/03/07 12:40:06 PM EST","2024","Woman","Asian;Native Hawaiian or Pacific Islander;White","Physical Sciences (including math, computer science)","Unsure","Unsure","Unsure","Prefer not to answer","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/07 12:40:16 PM EST","2024","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly disagree","Strongly disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 12:44:38 PM EST","2024","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat disagree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 12:44:56 PM EST","2025","Man","Asian;White","Life Sciences;Social Sciences (including economics, CLPS)","Strongly disagree","Somewhat agree","Unsure","I identify more closely with communist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 12:47:06 PM EST","2025.5","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Unsure","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/07 12:48:21 PM EST","2024","Man","White","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","Unsure","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/07 12:51:45 PM EST","2026","Woman","White","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 12:53:16 PM EST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Unsure","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/07 12:53:56 PM EST","2027","Woman","Native American or Alaska Native;White","Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","Unsure","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/07 12:57:40 PM EST","2024","Man","Hispanic or Latino","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/07 12:57:52 PM EST","2025","Woman","Asian","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Unsure"
"2024/03/07 1:00:25 PM EST","2026","Man","Hispanic or Latino;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat disagree","Strongly disagree","Unsure","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/07 1:00:31 PM EST","2025","Man","White","Social Sciences (including economics, CLPS)","Strongly agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/07 1:02:26 PM EST","2025","Man;Questioning","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","I do not believe in love languages"
"2024/03/07 1:12:58 PM EST","2024","Woman","White","Prefer not to answer","Somewhat agree","Somewhat agree","Unsure","Unsure","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","Yes","I do not believe in love languages"
"2024/03/07 1:14:00 PM EST","2027","Man","Black;Hispanic or Latino;White","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Unsure"
"2024/03/07 1:17:01 PM EST","2024","Man","White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/07 1:21:01 PM EST","2027","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly disagree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/07 1:24:03 PM EST","2025","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Prefer not to answer","Prefer not to answer","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Prefer not to answer","Quality time"
"2024/03/07 1:24:27 PM EST","2024","Woman","Asian;White","Humanities/Arts","Strongly agree","Somewhat agree","Unsure","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/07 1:29:07 PM EST","2026","Woman","Hispanic or Latino;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Very effective","Yes, slightly more lonely","I would rather receive a final grade of a B","No","Unsure"
"2024/03/07 1:30:24 PM EST","2026","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 1:31:37 PM EST","2025","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 1:40:19 PM EST","2025","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 1:44:06 PM EST","2027","Woman","White","Humanities/Arts","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of a B","Yes","Acts of service"
"2024/03/07 1:44:30 PM EST","2027","Man","White","Humanities/Arts","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Very effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/07 1:44:42 PM EST","2027","Woman","Black","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","Unsure","Somewhat effective","Unsure","I would rather receive a final grade of a B","No","Quality time"
"2024/03/07 1:45:30 PM EST","2027","Woman","White","Humanities/Arts","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/07 1:48:02 PM EST","2026","Woman","White","Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 1:53:27 PM EST","2025","Man","White","Life Sciences","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 1:54:13 PM EST","2025","Man","White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Very ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","I do not believe in love languages"
"2024/03/07 1:55:43 PM EST","2025","Woman","Asian;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat disagree","Unsure","Unsure","Unsure","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/07 1:56:56 PM EST","2025","Woman","Black","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","Unsure","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/07 1:57:28 PM EST","2025","Man","White","Life Sciences","Strongly agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 1:58:00 PM EST","2024","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat disagree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of a B","Yes","Acts of service"
"2024/03/07 2:00:43 PM EST","2025","Woman","Black","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/07 2:07:55 PM EST","2026","Woman","Hispanic or Latino","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/07 2:07:59 PM EST","2026","Woman","Black","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/07 2:10:14 PM EST","2025","Man","Asian","Life Sciences","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Unsure"
"2024/03/07 2:11:21 PM EST","2026","Woman;Non-binary","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 2:11:27 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/07 2:14:02 PM EST","2026","Woman","Asian","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/07 2:17:25 PM EST","2025","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Unsure"
"2024/03/07 2:17:29 PM EST","2027","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Prefer not to answer","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/07 2:19:05 PM EST","2027","Man","White","Prefer not to answer","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Unsure"
"2024/03/07 2:20:30 PM EST","2025","Woman","White","Humanities/Arts","Strongly disagree","Strongly agree","Unsure","I identify more closely with capitalist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/07 2:21:47 PM EST","2025","Woman;Non-binary","White","Social Sciences (including economics, CLPS)","Somewhat agree","Unsure","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 2:22:14 PM EST","2026","Man","Asian","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 2:23:03 PM EST","2025.5","Man","Asian","Life Sciences","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 2:24:59 PM EST","2026","Prefer not to answer","Asian","Humanities/Arts","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 2:25:44 PM EST","2026","Man","Black","Life Sciences","Somewhat agree","Strongly agree","Unsure","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/07 2:27:23 PM EST","2027","Woman","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Very effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/07 2:27:24 PM EST","2027","Man","Hispanic or Latino","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Very effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 2:28:41 PM EST","2025","Woman","White","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Unsure","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/07 2:29:22 PM EST","2024","Man","Hispanic or Latino","Life Sciences","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, significantly less lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/07 2:31:53 PM EST","2027","Woman","White","Humanities/Arts","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Unsure","I would rather receive a final grade of a B","No","Quality time"
"2024/03/07 2:31:55 PM EST","2024","Woman","Asian","Humanities/Arts;Life Sciences","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","Unsure","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 2:34:19 PM EST","2027","Woman","Hispanic or Latino","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/07 2:34:48 PM EST","2027","Prefer not to answer","Prefer not to answer","Life Sciences;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/07 2:35:23 PM EST","2025","Man;Non-binary","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat disagree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Acts of service"
"2024/03/07 2:36:25 PM EST","2026","Man","White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Somewhat effective","Unsure","I would rather receive a final grade of a B","No","Quality time"
"2024/03/07 2:38:41 PM EST","2025","Man","White","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 2:39:51 PM EST","2027","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Very effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/07 2:39:58 PM EST","2027","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 2:45:53 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Unsure","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/07 2:48:58 PM EST","2027","Woman","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Unsure","Unsure","Somewhat effective","Unsure","I would rather receive a final grade of an S","Yes","Unsure"
"2024/03/07 2:49:52 PM EST","2027","Man","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Very effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 2:53:53 PM EST","2027","Woman","White","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","Unsure","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 2:59:06 PM EST","2027","Man","White","Life Sciences","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","Unsure","Very ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/07 3:01:11 PM EST","2024.5","Man","White","Humanities/Arts","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Unsure"
"2024/03/07 3:02:11 PM EST","2027","Woman","White","Humanities/Arts","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","Unsure","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/07 3:03:38 PM EST","2024","Woman","White","Humanities/Arts;Life Sciences","Somewhat agree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/07 3:04:42 PM EST","2025","Woman","Prefer not to answer","Life Sciences","Somewhat agree","Unsure","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
