"Timestamp","What is your current graduation year?","What is your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area? Check all that apply.","How would you describe your family’s socioeconomic status?","Would you support or oppose the U.S. government banning TikTok?","When was the last time you cried?","Do you regret choosing to take a class S/NC rather than for a letter grade?","If you had to choose, would you rather raise a child starting now or never have the opportunity? (Baby now or never)","Which of the following statements applies to you? Check all that apply.","Who is the current Chief Justice of the United States Supreme Court?","Do you approve or disapprove of Brown Concert Agency’s artist selections for Spring Weekend?","On average, how many alcoholic beverages do you consume each week at Brown?"
"2023/04/13 10:48:28 AM AST","2024","Man","Asian;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","idk","Strongly disapprove","10-15 drinks"
"2023/04/13 10:50:37 AM AST","2024","Man","White","Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Prefer not to answer","John Roberts","Somewhat approve","15-20 drinks"
"2023/04/13 10:57:04 AM AST","2026","Woman","White","Prefer not to answer","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","Unsure","Most of my close friends are the same gender as me","I don't know","Somewhat approve","0-5 drinks"
"2023/04/13 10:58:08 AM AST","2026","Woman","White","Life Sciences;Physical Sciences (including math, computer science)","Upper class","Support","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","","Somewhat approve","5-10 drinks"
"2023/04/13 10:58:23 AM AST","2023","Woman","Asian;Hispanic;White","Social Sciences (including economics, CLPS)","Upper class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","John Roberts","Strongly disapprove","0-5 drinks"
"2023/04/13 11:00:03 AM AST","2023","Woman","White","Life Sciences","Upper class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","idk","Somewhat approve","Zero – I don’t drink"
"2023/04/13 11:00:45 AM AST","2026","Woman","Middle Eastern or North African;White","Humanities/Arts;Physical Sciences (including math, computer science)","Upper class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","","Somewhat approve","5-10 drinks"
"2023/04/13 11:02:31 AM AST","2026","Man","Asian;White","Physical Sciences (including math, computer science)","Middle class","Unsure","More than a year ago","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","","Unsure","Zero – I don’t drink"
"2023/04/13 11:03:23 AM AST","2024","Man","White","Social Sciences (including economics, CLPS)","Upper class","Support","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","John Roberts","Strongly approve","0-5 drinks"
"2023/04/13 11:07:24 AM AST","2025","Man","White","Life Sciences;Social Sciences (including economics, CLPS)","Lower-middle class","Support","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","None of these statements applies to me","","Somewhat disapprove","Zero – I don’t drink"
"2023/04/13 11:11:41 AM AST","2026","Woman","White","Humanities/Arts","Upper-middle class","Unsure","In the past month","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","10-15 drinks"
"2023/04/13 11:12:00 AM AST","2024","Woman","Asian;Middle Eastern or North African","Life Sciences","Middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","robert","Strongly approve","0-5 drinks"
"2023/04/13 11:22:02 AM AST","2024","Man","Black","Humanities/Arts","Middle class","Oppose","Unsure","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","I dont know","Somewhat approve","0-5 drinks"
"2023/04/13 11:23:45 AM AST","2026","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","I don't know this because I am international student #cool #epic","Somewhat approve","0-5 drinks"
"2023/04/13 11:26:10 AM AST","2026","Man","Middle Eastern or North African;White","Humanities/Arts","Upper class","Unsure","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","","Unsure","15-20 drinks"
"2023/04/13 11:29:49 AM AST","2023","Man","White","Social Sciences (including economics, CLPS)","Upper-middle class","Support","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","Roberts","Somewhat approve","0-5 drinks"
"2023/04/13 11:30:55 AM AST","2026","Man","Asian;White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/13 11:32:14 AM AST","2026","Man","White","Physical Sciences (including math, computer science)","Upper class","Support","In the past year","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","IDk","Unsure","5-10 drinks"
"2023/04/13 11:34:26 AM AST","2024","Woman","White","Social Sciences (including economics, CLPS)","Middle class","Unsure","In the past month","Unsure","I would rather never have the opportunity","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Roberts","Strongly approve","0-5 drinks"
"2023/04/13 11:36:17 AM AST","2024","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Upper class","Support","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","John Roberts","Strongly approve","0-5 drinks"
"2023/04/13 11:36:23 AM AST","2024","Man","Black","Humanities/Arts","Middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","forgot","Somewhat approve","0-5 drinks"
"2023/04/13 11:38:47 AM AST","2026","Woman","White","Life Sciences;Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","Unsure","Unsure","Zero – I don’t drink"
"2023/04/13 11:47:08 AM AST","2024","Woman","Hispanic","Life Sciences","Upper-middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Strongly disapprove","0-5 drinks"
"2023/04/13 11:49:47 AM AST","2025","Man","White","Life Sciences","Upper class","Unsure","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","John Roberts","Strongly approve","5-10 drinks"
"2023/04/13 11:50:16 AM AST","2023","Woman","Asian;White","Life Sciences","Upper class","Support","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","scalia","Strongly approve","5-10 drinks"
"2023/04/13 11:51:18 AM AST","2026","Questioning","Asian","Social Sciences (including economics, CLPS)","Upper class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","","Somewhat approve","0-5 drinks"
"2023/04/13 11:52:44 AM AST","2023.5","Unsure","White","Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","no clue","Somewhat approve","5-10 drinks"
"2023/04/13 11:53:12 AM AST","2024","Man","White","Life Sciences","Middle class","Oppose","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","John Roberts","Unsure","0-5 drinks"
"2023/04/13 11:54:03 AM AST","2025","Man","White","Humanities/Arts;Physical Sciences (including math, computer science)","Middle class","Support","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts","Somewhat approve","0-5 drinks"
"2023/04/13 11:56:22 AM AST","2025","Man","White","Humanities/Arts;Life Sciences","Middle class","Oppose","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","no idea","Somewhat approve","0-5 drinks"
"2023/04/13 11:56:57 AM AST","2023","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/13 11:57:37 AM AST","2023","Woman","White","Physical Sciences (including math, computer science)","Upper class","Unsure","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","lol idk :(","Strongly approve","5-10 drinks"
"2023/04/13 11:57:44 AM AST","2023","Woman","Asian;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","5-10 drinks"
"2023/04/13 11:57:50 AM AST","2026","Man","Black","Social Sciences (including economics, CLPS)","Lower class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","John Roberts","Somewhat approve","Zero – I don’t drink"
"2023/04/13 11:59:28 AM AST","2025","Woman","White","Social Sciences (including economics, CLPS)","Upper-middle class","Support","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","John Roberts","Strongly approve","0-5 drinks"
"2023/04/13 11:59:29 AM AST","2025","Woman","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","Lower-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","","Somewhat approve","Zero – I don’t drink"
"2023/04/13 11:59:48 AM AST","2026","Man","White","Humanities/Arts","Upper-middle class","Support","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","Roberts","Somewhat disapprove","0-5 drinks"
"2023/04/13 12:02:27 PM AST","2023","Man","Asian","Life Sciences","Upper class","Support","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","15-20 drinks"
"2023/04/13 12:03:08 PM AST","2025","Woman","White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","I don't know ","Unsure","0-5 drinks"
"2023/04/13 12:03:10 PM AST","2024","Woman","White","Life Sciences","Upper class","Unsure","In the past week","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","roberts","Unsure","Zero – I don’t drink"
"2023/04/13 12:04:54 PM AST","2023","Man","Asian","Humanities/Arts","Upper-middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","Roberts","Somewhat approve","0-5 drinks"
"2023/04/13 12:05:48 PM AST","2024","Man","Asian","Social Sciences (including economics, CLPS)","Middle class","Unsure","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","John Glover Roberts","Unsure","0-5 drinks"
"2023/04/13 12:07:42 PM AST","2023","Man","Asian;Hispanic","Life Sciences;Social Sciences (including economics, CLPS)","Upper-middle class","Support","Unsure","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","5-10 drinks"
"2023/04/13 12:21:09 PM AST","2024","Man","Black","Life Sciences","Middle class","Unsure","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me;None of these statements applies to me","Clarence Thomas ","Strongly approve","0-5 drinks"
"2023/04/13 12:32:40 PM AST","2023","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","More than a year ago","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","...","Unsure","0-5 drinks"
"2023/04/13 12:33:15 PM AST","2023","Man","White","Life Sciences","Upper-middle class","Oppose","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","lol","Somewhat approve","10-15 drinks"
"2023/04/13 12:37:17 PM AST","2023","Man","Black","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","Clarence Thomas","Strongly approve","0-5 drinks"
"2023/04/13 12:43:20 PM AST","2023","Man","White","Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","i'm ngl i have no idea (simon)","Strongly approve","0-5 drinks"
"2023/04/13 12:55:40 PM AST","2023","Man","Asian;White","Humanities/Arts","Middle class","Support","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","John Roberst","Strongly approve","0-5 drinks"
"2023/04/13 12:56:51 PM AST","2025","Woman","Middle Eastern or North African","Social Sciences (including economics, CLPS)","Upper class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","no idea","Somewhat approve","0-5 drinks"
"2023/04/13 12:57:24 PM AST","2023","Woman","White","Social Sciences (including economics, CLPS)","Upper class","Oppose","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","Roberts","Somewhat approve","15-20 drinks"
"2023/04/13 1:06:27 PM AST","2024","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Middle class","Unsure","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","0-5 drinks"
"2023/04/13 1:14:12 PM AST","2026","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Upper-middle class","Support","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","John Roberts","Somewhat approve","5-10 drinks"
"2023/04/13 1:17:50 PM AST","2025","Woman","Asian","Physical Sciences (including math, computer science)","Lower-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","idk ","Strongly disapprove","Zero – I don’t drink"
"2023/04/13 1:20:05 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","Middle class","Support","Unsure","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","John Roberts","Unsure","Zero – I don’t drink"
"2023/04/13 1:21:57 PM AST","2024","Man","White","Physical Sciences (including math, computer science)","Middle class","Oppose","In the past 6 months","No, I do not regret taking any classes S/NC","Unsure","None of these statements applies to me","John Roberts","Somewhat approve","5-10 drinks"
"2023/04/13 1:23:30 PM AST","2024","Woman","Hispanic;White","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","good question","Somewhat approve","0-5 drinks"
"2023/04/13 1:23:33 PM AST","2024","Woman","White","Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","Roberts","Somewhat approve","0-5 drinks"
"2023/04/13 1:29:47 PM AST","2025","Woman","Native Hawaiian or Pacific Islander;White","Life Sciences","Lower class","Unsure","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","no idea ","Unsure","Zero – I don’t drink"
"2023/04/13 1:29:49 PM AST","2025","Woman","Asian;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Upper class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","Clarence Thomas","Unsure","Zero – I don’t drink"
"2023/04/13 1:30:48 PM AST","2026","Man","Asian","Physical Sciences (including math, computer science)","Middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","None of these statements applies to me","idk","Somewhat disapprove","0-5 drinks"
"2023/04/13 1:33:10 PM AST","2025","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past week","I have never chosen to take a class S/NC","Unsure","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/13 1:33:31 PM AST","2025","Woman","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","","Strongly approve","10-15 drinks"
"2023/04/13 1:34:05 PM AST","2024.5","Woman","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Support","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","John roberts","Somewhat approve","0-5 drinks"
"2023/04/13 1:36:02 PM AST","2024","Woman","Black","Physical Sciences (including math, computer science)","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","Unsure","Most of my close friends are the same race as me","no idea","Somewhat approve","0-5 drinks"
"2023/04/13 1:36:26 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science)","Middle class","Support","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","","Somewhat approve","5-10 drinks"
"2023/04/13 1:37:40 PM AST","2024","Woman","Hispanic;White","Life Sciences","Middle class","Support","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","","Somewhat approve","Zero – I don’t drink"
"2023/04/13 1:40:40 PM AST","2025","Woman","White","Social Sciences (including economics, CLPS)","Middle class","Support","In the past year","Yes, I regret choosing to take one class S/NC","Prefer not to answer","Most of my close friends have the same socioeconomic status as me;Prefer not to answer","David rosen","Strongly disapprove","0-5 drinks"
"2023/04/13 1:41:02 PM AST","2025","Woman","White","Humanities/Arts","Upper-middle class","Unsure","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","sotomayor ","Unsure","0-5 drinks"
"2023/04/13 1:43:45 PM AST","2024","Woman","White","Humanities/Arts","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","","Somewhat approve","20+ drinks"
"2023/04/13 1:45:29 PM AST","2025","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Middle class","Unsure","In the past month","I have never chosen to take a class S/NC","Prefer not to answer","Most of my close friends are the same gender as me","John Roberts","Somewhat approve","Zero – I don’t drink"
"2023/04/13 1:45:46 PM AST","2024","Man","White","Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","roberts?","Strongly approve","5-10 drinks"
"2023/04/13 1:47:47 PM AST","2024","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past year","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","","Unsure","0-5 drinks"
"2023/04/13 1:48:01 PM AST","2025","Woman","Black;Hispanic","Physical Sciences (including math, computer science)","Lower class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","idk","Somewhat approve","0-5 drinks"
"2023/04/13 1:50:06 PM AST","2026","Man","Asian","Physical Sciences (including math, computer science)","Upper class","Oppose","In the past month","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","","Somewhat approve","0-5 drinks"
"2023/04/13 1:50:28 PM AST","2023","Man","Middle Eastern or North African;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Lower-middle class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","roberts ","Unsure","Zero – I don’t drink"
"2023/04/13 1:51:43 PM AST","2025","Man","Asian;White","Humanities/Arts","Upper class","Oppose","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","Brett kavanaugh??","Strongly approve","15-20 drinks"
"2023/04/13 1:57:38 PM AST","2026","Man","White","Life Sciences","Upper-middle class","Oppose","In the past 6 months","I have never chosen to take a class S/NC","I would rather never have the opportunity","None of these statements applies to me","","Somewhat approve","0-5 drinks"
"2023/04/13 1:59:11 PM AST","2024","Woman","Asian;White","Humanities/Arts","Lower-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","i do not know haha","Unsure","0-5 drinks"
"2023/04/13 2:02:12 PM AST","2023.5","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","","Unsure","0-5 drinks"
"2023/04/13 2:06:32 PM AST","2024.5","Man","Asian","Social Sciences (including economics, CLPS)","Middle class","Unsure","Unsure","Unsure","I would rather raise a child starting now","Most of my close friends are the same race as me","IDK","Somewhat disapprove","0-5 drinks"
"2023/04/13 2:10:10 PM AST","2023","Woman","White","Social Sciences (including economics, CLPS)","Upper class","Oppose","In the past week","Yes, I regret choosing to take multiple classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Justice John Roberts","Somewhat approve","0-5 drinks"
"2023/04/13 2:12:41 PM AST","2023","Man","White","Physical Sciences (including math, computer science)","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts","Unsure","0-5 drinks"
"2023/04/13 2:17:42 PM AST","2023","Man","White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","idk","Somewhat approve","20+ drinks"
"2023/04/13 2:17:53 PM AST","2025","Man","White","Humanities/Arts","Upper-middle class","Support","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","John Roberts","Strongly approve","0-5 drinks"
"2023/04/13 2:23:07 PM AST","2026","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Support","In the past 6 months","I have never chosen to take a class S/NC","I would rather never have the opportunity","None of these statements applies to me","","Somewhat approve","Zero – I don’t drink"
"2023/04/13 2:24:53 PM AST","2023","Man","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past month","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","No idea","Somewhat approve","5-10 drinks"
"2023/04/13 2:30:54 PM AST","2025","Woman","Black","Physical Sciences (including math, computer science)","Lower class","Unsure","Unsure","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","the black lady. don't know her name","Somewhat disapprove","0-5 drinks"
"2023/04/13 2:40:31 PM AST","2024.5","Man","Hispanic","Physical Sciences (including math, computer science)","Lower-middle class","Oppose","Unsure","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","N/A","Somewhat disapprove","15-20 drinks"
"2023/04/13 2:42:33 PM AST","2026","Prefer not to Answer","White","Humanities/Arts","Upper-middle class","Unsure","In the past month","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","","Somewhat approve","Prefer not to answer"
"2023/04/13 2:48:22 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","Lower-middle class","Unsure","Unsure","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","no idea","Strongly disapprove","Zero – I don’t drink"
"2023/04/13 2:53:28 PM AST","2025","Woman","Native American or Alaska Native;White","Social Sciences (including economics, CLPS)","Lower class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","Samuel Alito","Somewhat approve","0-5 drinks"
"2023/04/13 3:00:07 PM AST","2026","Woman","Black;Native American or Alaska Native;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","","Somewhat approve","15-20 drinks"
"2023/04/13 3:01:23 PM AST","2026","Woman","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past month","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","John Roberts ","Somewhat disapprove","0-5 drinks"
"2023/04/13 3:02:58 PM AST","2025","Woman","Asian","Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","","Somewhat disapprove","0-5 drinks"
"2023/04/13 3:04:38 PM AST","2026","Woman","Asian;Middle Eastern or North African","Humanities/Arts;Social Sciences (including economics, CLPS)","Lower class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","","Strongly approve","5-10 drinks"
"2023/04/13 3:04:51 PM AST","2026","Woman","Asian","Life Sciences","Middle class","Unsure","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","None of these statements applies to me","","Somewhat approve","0-5 drinks"
"2023/04/13 3:09:17 PM AST","2026","Non-binary","Asian;Black","Life Sciences","Middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","Roberts?","Somewhat disapprove","0-5 drinks"
"2023/04/13 3:10:42 PM AST","2026","Man","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather never have the opportunity","None of these statements applies to me","","Somewhat disapprove","0-5 drinks"
"2023/04/13 3:13:42 PM AST","2026","Woman","White","Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","john Roberts ","Somewhat disapprove","5-10 drinks"
"2023/04/13 3:15:52 PM AST","2026","Woman","Black","Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past 6 months","Yes, I regret choosing to take one class S/NC","Unsure","Most of my close friends are the same race as me","","Strongly disapprove","0-5 drinks"
